Store ID,Paul Secret pcs sold,Calvin Smart pcs sold,year,Paul Secret marketing spend,Calvin Smart marketing spend
1,1049,3337,0,0,0
2,883,2921,0,0,0
3,868,3228,0,0,0
4,1044,3365,0,0,0
5,999,3069,0,0,0
6,923,3340,0,0,0
7,950,2945,0,0,0
8,980,3252,0,0,0
9,919,2987,0,0,0
10,1049,2994,0,0,0
11,1025,2754,0,0,0
12,1094,3167,0,0,0
13,1000,3195,0,0,0
14,918,2998,0,0,0
15,1026,2934,0,0,0
16,927,2872,0,0,0
17,891,2884,0,0,0
18,959,2867,0,0,0
19,952,2773,0,0,0
20,1159,3312,0,0,0
21,918,2983,0,0,0
22,1090,2811,0,0,0
23,952,3026,0,0,0
24,1179,2987,0,0,0
25,1057,3009,0,0,0
26,990,3068,0,0,0
27,903,2782,0,0,0
28,1034,2944,0,0,0
29,1125,3144,0,0,0
30,1088,3035,0,0,0
31,1055,2820,0,0,0
32,1007,3109,0,0,0
33,1023,3099,0,0,0
34,1189,3188,0,0,0
35,1020,3468,0,0,0
36,873,2726,0,0,0
37,1080,3011,0,0,0
38,857,3112,0,0,0
39,1048,2919,0,0,0
40,1075,3027,0,0,0
41,971,2961,0,0,0
42,1044,3027,0,0,0
43,1021,3036,0,0,0
44,990,2858,0,0,0
45,1098,2997,0,0,0
46,1087,3234,0,0,0
47,926,2941,0,0,0
48,1032,3082,0,0,0
49,983,2931,0,0,0
50,1019,2860,0,0,0
51,1071,2882,0,0,0
52,1072,3066,0,0,0
53,948,2779,0,0,0
54,968,3170,0,0,0
55,987,2946,0,0,0
56,943,2720,0,0,0
57,982,3189,0,0,0
58,916,3101,0,0,0
59,869,3031,0,0,0
60,1100,3213,0,0,0
61,937,3014,0,0,0
62,1234,3205,0,0,0
63,987,2601,0,0,0
64,1125,3315,0,0,0
65,997,2741,0,0,0
66,941,2979,0,0,0
67,970,2742,0,0,0
68,998,3172,0,0,0
69,940,3131,0,0,0
70,1052,3158,0,0,0
71,981,2965,0,0,0
72,1112,3154,0,0,0
73,1043,3102,0,0,0
74,1054,3000,0,0,0
75,1069,3030,0,0,0
76,787,2997,0,0,0
77,1237,3153,0,0,0
78,1019,3090,0,0,0
79,982,2976,0,0,0